id;ime;naslov;doplacilo;mesto
2308;PIZZERIA BRIKSEN;Ljubljanska cesta 5;4.31;BLED
2736;PIZZERIA CHIANTI;Rozmanova ulica 25;3.31;NOVO MESTO
1441;PIZZERIA FOCULUS;Gregorčičeva ulica 3;4.3;LJUBLJANA
2284;PIZZERIA FONTANA ;Dalmatinova ulica 2;4.31;KRŠKO
3174;PIZZERIA IN OŠTARIJA CHIANTI;Rakuševa cesta 1;4.11;LJUBLJANA
1292;PIZZERIA IN ŠPAGETARIJA OLIVA;Litijska cesta 38;4.31;LJUBLJANA
1103;PIZZERIA IN ŠPAGETERIA AL CAPONE;Pobreška cesta 18;4.1;MARIBOR
1305;PIZZERIA IN ŠPAGETTERIA CUBUS;Podbevškova ulica 11;3.0;NOVO MESTO
1423;PIZZERIA LATERNA;Tržaška 79a;3.94;LJUBLJANA
2661;PIZZERIA OLIVA;Dečkova cesta 41;3.5;CELJE
2660;PIZZERIA OLIVA - DOSTAVA;Dečkova cesta 41;4.3;CELJE
2165;PIZZERIA OSMICA;Nazorjeva ulica 8;3.3;LJUBLJANA
2375;PIZZERIA PARMA;Trg republike 2;4.0;LJUBLJANA
1335;PIZZERIA ŠESTINKA;Miklošičeva cesta 22;0.0;LJUBLJANA
1334;PIZZERIA TOTALKA;Kandijska cesta 60;3.8;NOVO MESTO
1011;PIZZERIA VILA RAINERI;Tomažičeva ulica 10;3.41;IZOLA/ISOLA
1160;PIZZERIA VIVALDI;Borštnikova ulica 33a;4.3;MARIBOR
1861;PIZZERIJA AŠIČ;Pečarjeva 1;3.5;ZAGORJE OB SAVI
2011;PIZZERIJA AŠIČ - DOSTAVA;Pečarjeva ulica 1;4.0;ZAGORJE OB SAVI
1031;PIZZERIJA ATRIJ;Čevljarska 8;3.8;KOPER/CAPODISTRIA
1716;PIZZERIJA DIMNIK;Obrtniška cesta 1;3.81;TRBOVLJE
1717;PIZZERIJA DIMNIK - DOSTAVA;Obrtniška cesta 1;4.31;TRBOVLJE
1711;PIZZERIJA ETNA - ITALIJANSKA KUHINJA;Ulica Marije Hvaličeve 6;4.31;LJUBLJANA
1994;PIZZERIJA GORENC;Koroška cesta 59;2.71;KRANJ
1413;PIZZERIJA IN OKREPČEVALNICA KONDOR;Cesta v Mestni log 55;4.01;LJUBLJANA
3181;PIZZERIJA IN ŠPAGETARIJA BUF;Stara cesta 25b;4.31;KRANJ
3116;PIZZERIJA IN ŠPAGETERIJA ALCAPONE;Moskovska ulica 4;3.31;LJUBLJANA
1176;PIZZERIJA VELUN;Šalek 24 a;3.9;VELENJE
3073;"PR&#39; LETEČMU POTEPUHU";Obrtna cona Logatec 10d;3.0;LOGATEC
2983;PREHRANA BAR VOKA - SNAGA;Vodovodna cesta 90;3.61;LJUBLJANA
2753;PREHRANA PALAČA SMELT;Dunajska 160;3.61;LJUBLJANA
2204;PRIMAVERA IZOLA;Prešernova cesta 55;4.31;IZOLA/ISOLA
2205;PRIMAVERA IZOLA-DOSTAVA;Prešernova cesta 55 ;4.31;IZOLA/ISOLA
1265;PROMETNA ŠOLA MARIBOR;Preradovičeva ulica 33;2.5;MARIBOR
2325;Q SLOVENSKA;Slovenska 9;4.31;MARIBOR
2651;Q TABOR;Gorkega ulica 45;4.31;MARIBOR
2187;RESTAVRACIJA 123 DSU;Litostrojska 54;3.0;LJUBLJANA
2528;RESTAVRACIJA 123 MEGA CENTER 2;Verovškova ulica 55a;3.0;LJUBLJANA
2531;RESTAVRACIJA 123 MERCATOR DUNAJSKA;Dunajska cesta 107;2.5;LJUBLJANA
2164;RESTAVRACIJA ALLEGRIA;Nazorjeva ulica 8;4.31;LJUBLJANA
2501;RESTAVRACIJA ANCORA;Jurčičeva ulica 7;3.7;MARIBOR
2527;RESTAVRACIJA BREJK;Dunajska cesta 22;4.3;LJUBLJANA
1626;RESTAVRACIJA DK;Titov trg 3;2.41;VELENJE
1827;RESTAVRACIJA FANY & MARY;Petkovškovo nabrežje 19;4.31;LJUBLJANA
2097;RESTAVRACIJA FRESCO;Slovenska cesta 51;4.0;LJUBLJANA
3134;RESTAVRACIJA FS, FAKULTETA ZA STROJNIŠTVO;Aškerčeva ulica 6;2.51;LJUBLJANA
2843;RESTAVRACIJA GIG;Mala ulica 5;4.31;LJUBLJANA
3120;RESTAVRACIJA GOYA;Gosposvetska cesta 87;3.41;MARIBOR
3166;RESTAVRACIJA HONG KONG;Litijska 28;4.0;LJUBLJANA
3036;RESTAVRACIJA IN MALOPRODAJA HERMINE WECH - KOROŠKA PERUTNINA;Gačnikova pot 2;3.81;RAVNE NA KOROŠKEM
3038;RESTAVRACIJA IN MALOPRODAJA HERMINE WECH - KOROŠKA PERUTNINA;Ozare;3.81;SLOVENJ GRADEC
2343;RESTAVRACIJA IN PIVNICA ZVEZDA;Trg zmage 8;2.61;MURSKA SOBOTA
1195;RESTAVRACIJA INTERSPAR CELJE;Mariborska 100;3.2;CELJE
1369;RESTAVRACIJA INTERSPAR CITYPARK;Šmartinska 152g;3.2;LJUBLJANA
1023;RESTAVRACIJA INTERSPAR KOPER;Ankaranska cesta 3A;3.2;KOPER/CAPODISTRIA
1198;RESTAVRACIJA INTERSPAR KRANJ;Cesta 1.maja 77;3.2;KRANJ
1194;RESTAVRACIJA INTERSPAR MARIBOR EUROPARK;Pobreška 18;3.2;MARIBOR
1197;RESTAVRACIJA INTERSPAR MARIBOR QLANDIA;Cesta Proletarskih brigad 100;3.2;MARIBOR
1199;RESTAVRACIJA INTERSPAR MURSKA SOBOTA;Nemčavci 1d;3.2;MURSKA SOBOTA
1025;RESTAVRACIJA INTERSPAR NOVA GORICA;Cesta 25. junija 1a;3.2;NOVA GORICA
1370;RESTAVRACIJA INTERSPAR VIČ;Jamova 105;3.2;LJUBLJANA
3180;RESTAVRACIJA KATRCA;Rožna Dolina, cesta I 26a;4.31;LJUBLJANA
2040;RESTAVRACIJA KITAJSKA PALAČA;Focheva ulica 41;3.3;MARIBOR
1130;RESTAVRACIJA KITAJSKI VRT;Dravska cesta 7 ;3.31;PTUJ
1768;RESTAVRACIJA KLUB CANKARJEVEGA DOMA;Prešernova cesta 10;3.91;LJUBLJANA
2475;RESTAVRACIJA KOLODVORSKA ;Cesta talcev 37a;3.31;VELENJE
3096;RESTAVRACIJA KOMPLIMENT;Kidričeva cesta 75;3.01;ŠKOFJA LOKA
1713;RESTAVRACIJA LETALIŠKA;Letališka cesta 15;1.0;LJUBLJANA
3068;RESTAVRACIJA MANDALA - PODHOD AJDOVŠČINA;Ajdovščina 4;3.99;LJUBLJANA
2085;RESTAVRACIJA MANGO;Turnerjeva ulica 17;3.8;MARIBOR
2649;RESTAVRACIJA MCDONALDS - CITYCENTER;Mariborska cesta 100;2.01;CELJE
2759;RESTAVRACIJA MCDONALDS - PTUJ;Ormoška cesta 3;2.01;PTUJ
3144;RESTAVRACIJA MENSANA;Slomškova ulica 49;2.81;MURSKA SOBOTA
2721;RESTAVRACIJA MODRI KVADRAT;Davčna ulica 1;3.31;LJUBLJANA
1382;RESTAVRACIJA MOZART;Stegne 7;3.31;LJUBLJANA
3172;RESTAVRACIJA MOZART P.E. EKONOMSKA FAKULTETA;Kardeljeva ploščad 17;3.31;LJUBLJANA
3049;RESTAVRACIJA MR.FALAFEL;Gosposka ulica 30;3.5;MARIBOR
3179;RESTAVRACIJA OAZA PEF;Kardeljeva ploščad 16;2.3;LJUBLJANA
2619;RESTAVRACIJA ORIENT;Taborska ulica 12;3.31;MARIBOR
2953;RESTAVRACIJA PEKING;Gregorčičeva ulica 19;2.0;MARIBOR
2229;RESTAVRACIJA PIANO;Koroška cesta 160;3.6;MARIBOR
1360;RESTAVRACIJA PLEČNIKOV HRAM;Trg francoske revolucije 2;3.8;LJUBLJANA
2180;RESTAVRACIJA PRESTIGE CATERING, GZS;Dimičeva ulica 13;3.21;LJUBLJANA
1321;RESTAVRACIJA RDEČE JABOLKO;Tržaška 116;3.9;LJUBLJANA
2959;RESTAVRACIJA RUTAR MARIBOR;Tržaška cesta 67;3.44;MARIBOR
2252;RESTAVRACIJA SARAJEVSKIH JEDI VALTER - ŠKOFJA LOKA;Kidričeva cesta 8c;2.5;ŠKOFJA LOKA
2884;RESTAVRACIJA SARAJEVSKIH JEDI VALTER JESENICE;Cesta Maršala Tita 106;2.3;JESENICE
2326;RESTAVRACIJA SARAJEVSKIH JEDI VALTER KRANJ;Cesta 1.maja 1a;2.5;KRANJ
2131;RESTAVRACIJA SARAJEVSKIH JEDI VALTER LJUBLJANA;Šmartinska cesta 3;2.5;LJUBLJANA
2520;RESTAVRACIJA SHAOLIN;Hacquetova 5;3.5;LJUBLJANA
1367;RESTAVRACIJA SKRITI KOT;Ajdovščina 4;4.3;LJUBLJANA
